enzyCUI,drugNAME,drugCUI
C0027021,Bivalirudin,C0168273
C4742896,Bivalirudin,C0168273
C0027021,Octreotide,C0028833
C4742896,Octreotide,C0028833
C1142644,Octreotide,C0028833
C3714798,Octreotide,C0028833
C0027021,Ticlopidine,C0040207
C4742896,Ticlopidine,C0040207
C0207509,Ticlopidine,C0040207
C1620185,Ticlopidine,C0040207
C0057223,Ticlopidine,C0040207
C3887685,Ticlopidine,C0040207
C0608437,Ticlopidine,C0040207
C0010763,Ticlopidine,C0040207
C3887686,Ticlopidine,C0040207
C0960580,Ticlopidine,C0040207
C0897385,Ticlopidine,C0040207
C0534137,Ticlopidine,C0040207
C1828468,Ticlopidine,C0040207
C0027021,Aminosalicylic acid,C0030125
C4742896,Aminosalicylic acid,C0030125
C0027021,Dapsone,C0010980
C4742896,Dapsone,C0010980
C0608437,Dapsone,C0010980
C1142644,Dapsone,C0010980
C3714798,Dapsone,C0010980
C0010763,Dapsone,C0010980
C3887686,Dapsone,C0010980
C0960580,Dapsone,C0010980
C0535996,Dapsone,C0010980
C3714750,Dapsone,C0010980
C0897385,Dapsone,C0010980
C0533212,Dapsone,C0010980
C0218171,Dapsone,C0010980
C1414645,Dapsone,C0010980
C0027021,Nabumetone,C0068334
C4742896,Nabumetone,C0068334
C0207509,Nabumetone,C0068334
C1620185,Nabumetone,C0068334
C0608437,Nabumetone,C0068334
C4319743,Nabumetone,C0068334
C0027021,Tolmetin,C0040377
C4742896,Tolmetin,C0040377
C0041256,Tolmetin,C0040377
C0027021,Cisplatin,C0008838
C4742896,Cisplatin,C0008838
C0608437,Cisplatin,C0008838
C0008429,Cisplatin,C0008838
C0202207,Cisplatin,C0008838
C0364230,Cisplatin,C0008838
C0728810,Cisplatin,C0008838
C4082696,Cisplatin,C0008838
C0534137,Cisplatin,C0008838
C1828468,Cisplatin,C0008838
C0003933,Cisplatin,C0008838
C0052452,Cisplatin,C0008838
C0027021,Oxaliplatin,C0069717
C4742896,Oxaliplatin,C0069717
C0027021,Propylthiouracil,C0033511
C4742896,Propylthiouracil,C0033511
C0059735,Propylthiouracil,C0033511
C3252639,Propylthiouracil,C0033511
C0013032,Propylthiouracil,C0033511
C0027021,Cefaclor,C0007537
C0027021,Cefaclor,C0801867
C4742896,Cefaclor,C0007537
C4742896,Cefaclor,C0801867
C0027021,Cysteamine,C0010648
C4742896,Cysteamine,C0010648
C0027021,Carboplatin,C0079083
C0027021,Carboplatin,C4082332
C4742896,Carboplatin,C0079083
C4742896,Carboplatin,C4082332
C0027021,Melatonin,C0025219
C0027021,Melatonin,C0550424
C0027021,Melatonin,C1527137
C4742896,Melatonin,C0025219
C4742896,Melatonin,C0550424
C4742896,Melatonin,C1527137
C0207509,Melatonin,C0025219
C0207509,Melatonin,C0550424
C0207509,Melatonin,C1527137
C1620185,Melatonin,C0025219
C1620185,Melatonin,C0550424
C1620185,Melatonin,C1527137
C0608437,Melatonin,C0025219
C0608437,Melatonin,C0550424
C0608437,Melatonin,C1527137
C0960580,Melatonin,C0025219
C0960580,Melatonin,C0550424
C0960580,Melatonin,C1527137
C1450093,Melatonin,C0025219
C1450093,Melatonin,C0550424
C1450093,Melatonin,C1527137
C0059735,Melatonin,C0025219
C0059735,Melatonin,C0550424
C0059735,Melatonin,C1527137
C3252639,Melatonin,C0025219
C3252639,Melatonin,C0550424
C3252639,Melatonin,C1527137
C3254086,Melatonin,C0025219
C3254086,Melatonin,C0550424
C3254086,Melatonin,C1527137
C0027021,Enoxaparin,C0206460
C4742896,Enoxaparin,C0206460
C0027021,Calcipotriol,C0065767
C4742896,Calcipotriol,C0065767
C0026237,Calcipotriol,C0065767
C0887941,Calcipotriol,C0065767
C0027021,Urethane,C0041964
C0027021,Urethane,C0678237
C4742896,Urethane,C0041964
C4742896,Urethane,C0678237
C0051124,Urethane,C0041964
C0051124,Urethane,C0678237
C0027021,Elafin,C0142580
C0027021,Elafin,C1579194
C4742896,Elafin,C0142580
C4742896,Elafin,C1579194
C0027021,AB192,C1870385
C4742896,AB192,C1870385
