drugbank_id,name,enzy
DB00006,Bivalirudin,P05164
DB00008,Peginterferon alfa-2a,P05177
DB00011,Interferon alfa-n1,P05177
DB00013,Urokinase,P39900
DB00018,Interferon alfa-n3,P05177
DB00019,Pegfilgrastim,P08246
DB00022,Peginterferon alfa-2b,P05177
DB00022,Peginterferon alfa-2b,P10635
DB00022,Peginterferon alfa-2b,P11712
DB00025,"Antihemophilic factor, human recombinant",P00734
DB00025,"Antihemophilic factor, human recombinant",P04070
DB00030,Insulin human,P14735
DB00030,Insulin human,P16519
DB00030,Insulin human,P29120
DB00030,Insulin human,P05177
DB00033,Interferon gamma-1b,P05177
DB00034,Interferon alfa-2a,P05177
DB00035,Desmopressin,P35354
DB00035,Desmopressin,P23219
DB00041,Aldesleukin,P35354
DB00041,Aldesleukin,P47712
DB00041,Aldesleukin,P08684
DB00041,Aldesleukin,P47989
DB00041,Aldesleukin,P05181
DB00046,Insulin lispro,P05177
DB00046,Insulin lispro,P14735
DB00047,Insulin glargine,P05177
DB00052,Somatotropin,P05177
DB00052,Somatotropin,P33261
DB00060,Interferon beta-1a,P05177
DB00068,Interferon beta-1b,P05177
DB00069,Interferon alfacon-1,P05177
DB00071,Insulin pork,P05177
DB00071,Insulin pork,P14735
DB00082,Pegvisomant,Q02318
DB00082,Pegvisomant,P15104
DB00082,Pegvisomant,P08684
DB00082,Pegvisomant,P06276
DB00082,Pegvisomant,Q02928
DB00086,Streptokinase,P47712
DB00091,Cyclosporine,P08684
DB00091,Cyclosporine,P20815
DB00091,Cyclosporine,P33261
DB00091,Cyclosporine,P10635
DB00099,Filgrastim,P08246
DB00104,Octreotide,P05164
DB00104,Octreotide,P08684
DB00105,Interferon alfa-2b,P05177
DB00107,Oxytocin,P48147
DB00107,Oxytocin,Q9UIQ6
DB00109,Enfuvirtide,P33261
DB00109,Enfuvirtide,P05181
DB00115,Cyanocobalamin,Q96EY8
DB00115,Cyanocobalamin,Q05599
DB00118,Ademetionine,P19623
DB00118,Ademetionine,P05181
DB00121,Biotin,Q16678
DB00122,Choline,Q9Y6K0
DB00122,Choline,Q9Y259
DB00122,Choline,P28329
DB00122,Choline,P35790
DB00122,Choline,Q8NE62
DB00126,Ascorbic acid,Q16881
DB00127,Spermine,P21673
DB00127,Spermine,Q96F10
DB00127,Spermine,P47989
DB00128,Aspartic acid,P27708
DB00130,L-Glutamine,P15104
DB00130,L-Glutamine,Q9UI32
DB00130,L-Glutamine,O94925
DB00130,L-Glutamine,P00488
DB00130,L-Glutamine,P21980
DB00130,L-Glutamine,O43548
DB00130,L-Glutamine,O95932
DB00130,L-Glutamine,P22735
DB00130,L-Glutamine,P49221
DB00130,L-Glutamine,Q08188
DB00130,L-Glutamine,Q96PF1
DB00130,L-Glutamine,P49915
DB00130,L-Glutamine,P08243
DB00130,L-Glutamine,Q16773
DB00130,L-Glutamine,O15067
DB00130,L-Glutamine,O75879
DB00130,L-Glutamine,O94808
DB00130,L-Glutamine,P27708
DB00130,L-Glutamine,P47897
DB00130,L-Glutamine,Q6IA69
DB00131,Adenosine phosphate,P23109
DB00131,Adenosine phosphate,P07741
DB00134,Methionine,P31153
DB00134,Methionine,Q9Y3D2
DB00134,Methionine,Q00266
DB00134,Methionine,Q9NZV6
DB00134,Methionine,Q9UJ68
DB00134,Methionine,P56192
DB00134,Methionine,Q96GW9
DB00134,Methionine,Q9NZL9
DB00134,Methionine,Q9H2M3
DB00134,Methionine,P15104
DB00134,Methionine,P42898
DB00136,Calcitriol,Q07973
DB00136,Calcitriol,P08684
DB00140,Riboflavin,P21397
DB00140,Riboflavin,P42898
DB00143,Glutathione,P09210
DB00143,Glutathione,P08263
DB00145,Glycine,P23378
DB00145,Glycine,P23434
DB00145,Glycine,P48728
DB00145,Glycine,P09622
DB00146,Calcifediol,O15528
DB00146,Calcifediol,Q07973
DB00150,Tryptophan,P00953
DB00150,Tryptophan,Q9UGM6
DB00150,Tryptophan,P17752
DB00150,Tryptophan,Q8IWU9
DB00150,Tryptophan,P23381
DB00150,Tryptophan,P14902
DB00150,Tryptophan,P48775
DB00150,Tryptophan,P20711
DB00152,Thiamine,P13584
DB00152,Thiamine,Q9H3S4
DB00152,Thiamine,O75356
DB00152,Thiamine,Q9BU02
DB00153,Ergocalciferol,Q6VVX0
DB00153,Ergocalciferol,O15528
DB00153,Ergocalciferol,Q07973
DB00153,Ergocalciferol,Q96AT9
DB00153,Ergocalciferol,P05108
DB00153,Ergocalciferol,Q02318
DB00157,NADH,P14550
DB00157,NADH,P07327
DB00157,NADH,P00325
DB00157,NADH,P08319
DB00157,NADH,P11766
DB00157,NADH,P40394
DB00157,NADH,P47989
DB00157,NADH,Q06278
DB00157,NADH,P28332
DB00158,Folic acid,P00374
DB00158,Folic acid,P13995
DB00158,Folic acid,P42898
DB00158,Folic acid,Q99707
DB00158,Folic acid,Q92820
DB00161,Valine,P26640
DB00161,Valine,P05166
DB00161,Valine,P54687
DB00162,Vitamin A,P04798
DB00162,Vitamin A,P05177
DB00162,Vitamin A,P08684
DB00162,Vitamin A,Q16678
DB00162,Vitamin A,O43174
DB00163,Vitamin E,P08684
DB00163,Vitamin E,P78329
DB00163,Vitamin E,P09211
DB00163,Vitamin E,P78417
DB00163,Vitamin E,P21266
DB00163,Vitamin E,P48506
DB00163,Vitamin E,P15559
DB00163,Vitamin E,P09601
DB00163,Vitamin E,P00441
DB00163,Vitamin E,P09210
DB00165,Pyridoxine,P04798
DB00165,Pyridoxine,O00764
DB00165,Pyridoxine,Q96GD0
DB00165,Pyridoxine,P05186
DB00166,Lipoic acid,P16435
DB00169,Cholecalciferol,Q6VVX0
DB00169,Cholecalciferol,O15528
DB00169,Cholecalciferol,Q02318
DB00169,Cholecalciferol,P51589
DB00169,Cholecalciferol,P08684
DB00169,Cholecalciferol,P05108
DB00169,Cholecalciferol,P04798
DB00169,Cholecalciferol,P10632
DB00170,Menadione,P05177
DB00170,Menadione,P11509
DB00170,Menadione,Q16678
DB00170,Menadione,P20813
DB00170,Menadione,P10632
DB00170,Menadione,P11712
DB00170,Menadione,P33261
DB00170,Menadione,P10635
DB00170,Menadione,P05181
DB00170,Menadione,P08684
DB00170,Menadione,P20815
DB00170,Menadione,P24462
DB00170,Menadione,P47989
DB00170,Menadione,Q06278
DB00170,Menadione,P42898
DB00170,Menadione,P04798
DB00171,ATP,P55263
DB00172,Proline,O43272
DB00173,Adenine,P22309
DB00177,Valsartan,P11712
DB00178,Ramipril,P06276
DB00180,Flunisolide,P08684
DB00182,Amphetamine,P10635
DB00182,Amphetamine,P11509
DB00183,Pentagastrin,P06276
DB00184,Nicotine,P11509
DB00184,Nicotine,P20813
DB00184,Nicotine,P22310
DB00184,Nicotine,O60656
DB00184,Nicotine,P31513
DB00184,Nicotine,P08684
DB00184,Nicotine,Q06278
DB00184,Nicotine,P04798
DB00184,Nicotine,P05177
DB00184,Nicotine,P33261
DB00184,Nicotine,P10632
DB00184,Nicotine,P11712
DB00184,Nicotine,P10635
DB00184,Nicotine,P21397
DB00184,Nicotine,P27338
DB00184,Nicotine,P05181
DB00184,Nicotine,Q16696
DB00185,Cevimeline,P08684
DB00185,Cevimeline,P10635
DB00185,Cevimeline,Q01740
DB00186,Lorazepam,P54855
DB00186,Lorazepam,P08684
DB00187,Esmolol,P10635
DB00188,Bortezomib,P11712
DB00188,Bortezomib,P33261
DB00188,Bortezomib,P10635
DB00188,Bortezomib,P08684
DB00188,Bortezomib,P05177
DB00191,Phentermine,P08684
DB00193,Tramadol,P10635
DB00193,Tramadol,P08684
DB00193,Tramadol,P20813
DB00193,Tramadol,P16662
DB00193,Tramadol,Q9HAW9
DB00193,Tramadol,P22309
DB00194,Vidarabine,P00813
DB00195,Betaxolol,P10635
DB00195,Betaxolol,P05177
DB00196,Fluconazole,P16662
DB00196,Fluconazole,P08684
DB00196,Fluconazole,P20815
DB00196,Fluconazole,P11712
DB00196,Fluconazole,P33261
DB00197,Troglitazone,P11511
DB00197,Troglitazone,P04798
DB00197,Troglitazone,P20813
DB00197,Troglitazone,P11712
DB00197,Troglitazone,P20815
DB00197,Troglitazone,P24462
DB00197,Troglitazone,P35503
DB00197,Troglitazone,P22310
DB00197,Troglitazone,P19224
DB00197,Troglitazone,Q9HAW7
DB00197,Troglitazone,Q9HAW9
DB00197,Troglitazone,O60656
DB00197,Troglitazone,Q9HAW8
DB00197,Troglitazone,P16662
DB00197,Troglitazone,P54855
DB00197,Troglitazone,P08684
DB00197,Troglitazone,P33261
DB00197,Troglitazone,P22309
DB00197,Troglitazone,P10632
DB00198,Oseltamivir,P23141
DB00199,Erythromycin,P08684
DB00199,Erythromycin,P20815
